row_id,vehicle_id,latitude,longitude,distance_from_prev_point,worker_id
1,1168038,31.81654,35.18962,,5
2,1168038,31.81489,35.19168,267.5159705410678,5
3,1168038,31.81528,35.19092,83.89904511051634,5
4,1168038,31.81502,35.19194,100.63302233941127,5
5,1168038,31.81752,35.18783,477.6338911738371,5
11,1168038,31.81723,35.18818,46.194598911692054,5
12,1168038,31.79666,35.22951,4526.927380704594,5
18,1168038,31.79995,35.23269,473.4912648791687,5
30,1168038,31.80293,35.22923,465.5732312171327,5
32,1168038,31.80417,35.23035,173.83830843073247,5
34,1168038,31.80412,35.23182,139.04249287788582,5
55,1168038,31.80383,35.23254,75.30335171648903,5
57,1168038,31.80385,35.23313,55.806031393242804,5
71,1168038,31.80458,35.23575,260.5854443271361,5
75,1168038,31.8073,35.23556,303.0119419930065,5
84,1168038,31.80673,35.23451,117.75097484069099,5
90,1168038,31.80644,35.22993,434.0495506614282,5
103,1168038,31.8057,35.22051,894.0742606094163,5
116,1168038,31.80651,35.21614,422.711500929479,5
130,1168038,31.80881,35.20762,844.8410010371206,5
142,1168038,31.81253,35.2013,726.5325828837268,5
145,1168038,31.81273,35.19935,185.61672660291632,5
158,1168038,31.81503,35.19516,471.380852983817,5
166,1168038,31.81248,35.19522,283.6311419872514,5
172,1168038,31.8143,35.19322,276.92048771268867,5
179,1168038,31.81649,35.18982,403.1651803857205,5
7,1201369,32.057,34.8456,,2
13,1201369,31.93317,34.92807,15818.060914809477,2
14,1201369,31.94209,34.92984,1005.9196593949838,2
15,1201369,31.94865,34.93137,743.6584573110299,2
16,1201369,31.9538,34.93473,654.6077433496517,2
17,1201369,31.95424,34.93512,61.224036850979054,2
19,1201369,31.95599,34.93663,241.1900173382504,2
20,1201369,31.95601,34.93687,22.754252843997246,2
21,1201369,31.95587,34.9374,52.37586086199839,2
22,1201369,31.95567,34.93796,57.32931785010892,2
23,1201369,31.95541,34.93842,52.15242756993524,2
24,1201369,31.95522,34.93858,25.968386431235253,2
25,1201369,31.95425,34.93938,131.65837988919654,2
26,1201369,31.95423,34.93944,6.0826397523070534,2
27,1201369,31.95422,34.93949,4.847152503852947,2
28,1201369,31.95424,34.93955,6.082639178741162,2
29,1201369,31.95437,34.93975,23.772411797200466,2
33,1201369,31.95473,34.94013,53.74332351719491,2
36,1201369,31.95489,34.94017,18.188804253609447,2
37,1201369,31.95556,34.9407,89.73445533354227,2
40,1201369,31.95756,34.94206,256.7744663890396,2
41,1201369,31.95926,34.94226,189.9891014333402,2
44,1201369,31.96371,34.94217,494.9380777763971,2
